event_count,code_edit_count,cursor_move_count,editor_focus_count,mean_inter_event_time,std_inter_event_time,mean_edit_length,std_edit_length,large_edit_count
16,8,8,0,0.2699829944719871,0.4022719672761042,370.375,8.802520945729126,8
10,5,5,0,0.3545056852615542,0.4843213638298571,373.6,9.789790600416334,5
4,2,2,0,0.3449861112361153,0.4866385332338609,382.0,11.0,2
4,2,2,0,0.3449861112361153,0.4866385332338609,382.0,11.0,2
4,2,2,0,0.05333522241562605,0.07359501602534295,394.5,0.5,2
6,3,3,0,0.23245679195970298,0.389394603371667,395.0,0.816496580927726,3
14,7,7,0,0.1710835834248708,0.280707904059177,397.0,2.0,7
16,8,8,0,0.16896026947846016,0.26736222230720974,397.5,2.29128784747792,8
20,10,10,0,0.21679239695597635,0.3326357018726461,398.5,2.8722813232690143,10
20,10,10,0,0.19615599120918073,0.28544323941045024,400.5,2.8722813232690143,10
24,12,12,0,0.20652684419537368,0.31934543979745733,402.5,3.452052529534663,12
18,9,9,0,0.2908362549565294,0.40525667993712255,405.0,2.581988897471611,9
16,8,8,0,0.25357417228321233,0.3621287850222166,405.5,2.29128784747792,8
12,6,6,0,0.26182181819934736,0.39911300349958273,406.5,1.707825127659933,6
8,4,4,0,0.21303094058696712,0.358703895610444,407.5,1.118033988749895,4
3,1,1,1,1.1001931042410433,1.0989410211332142,330.0,0.0,1
3,1,1,1,1.1001931042410433,1.0989410211332142,330.0,0.0,1
5,2,2,1,0.8585715731605887,0.9230460890493262,330.5,0.5,2
4,2,2,0,0.4117173890893658,0.5807788988859488,330.5,0.5,2
4,2,2,0,0.4117173890893658,0.5807788988859488,330.5,0.5,2
6,3,3,0,0.0901951415464282,0.1095014567144074,333.0,0.816496580927726,3
8,4,4,0,0.12435662493641887,0.15481572910554542,333.5,1.118033988749895,4
12,6,6,0,0.20566959839991547,0.3321200125179247,334.5,1.707825127659933,6
12,6,6,0,0.20566959839991547,0.3321200125179247,334.5,1.707825127659933,6
12,6,6,0,0.20566959839991547,0.3321200125179247,334.5,1.707825127659933,6
8,4,4,0,0.6490519106654185,1.0938279382181748,336.5,1.118033988749895,4
6,3,3,0,0.6760764084756374,1.2399867336724508,337.0,0.816496580927726,3
4,2,2,0,0.5388470139975349,0.7605839643277968,338.5,0.5,2
6,3,3,0,0.49526620004326105,0.6508031672603449,339.0,0.816496580927726,3
6,3,3,0,0.49526620004326105,0.6508031672603449,339.0,0.816496580927726,3
4,2,2,0,0.2869716389104724,0.40438337592015966,339.5,0.5,2
4,2,2,0,0.2869716389104724,0.40438337592015966,339.5,0.5,2
4,2,2,0,1.498729611126085,2.1181092638890706,340.5,0.5,2
6,3,3,0,0.20330535005778075,0.2571266836913866,342.0,0.816496580927726,3
8,4,4,0,0.27926737495831083,0.35264616745241234,342.5,1.118033988749895,4
10,5,5,0,0.3107171667118867,0.37329347533380003,343.2,1.7204650534085253,5
14,7,7,0,0.2871730769626223,0.35371723359806684,344.42857142857144,2.4411439272335804,7
16,7,7,0,0.3230638944233457,0.42592742542900525,345.2857142857143,2.1189138534559038,7
17,7,7,0,0.21782498172251508,0.37957216199602617,346.14285714285717,1.2453996981544782,7
17,7,7,0,0.2366822708863765,0.4157671828684758,346.42857142857144,0.9035079029052513,7
19,8,8,0,0.22946649070622194,0.3976639624706444,346.75,0.9682458365518543,8
16,6,7,0,0.22408723601450523,0.350790959716758,346.5,0.9574271077563381,6
16,7,8,0,0.3094190000245968,0.4010129576323145,349.42857142857144,6.137871731125953,7
11,5,6,0,0.33083888329565525,0.37613002573429605,351.0,6.6332495807108,5
9,4,5,0,0.31986384897027165,0.3759054315376505,352.25,6.869315832017043,4
5,2,3,0,0.37232285435311496,0.42914258927463095,357.0,7.0,2
4,2,2,0,0.14727029173324505,0.2072595606287704,357.0,7.0,2
4,2,2,0,0.0722825142244498,0.10012636463675957,365.5,0.5,2
4,2,2,0,0.0722825142244498,0.10012636463675957,365.5,0.5,2
6,3,3,0,0.3257976250723004,0.5484626514238342,366.0,0.816496580927726,3
8,4,4,0,0.3705783453104751,0.5349884196504435,366.5,1.118033988749895,4
12,6,6,0,0.39020640157501807,0.5046878755310137,367.5,1.707825127659933,6
8,4,4,0,0.3807279225438833,0.451541792229641,368.5,1.118033988749895,4
14,7,7,0,0.351944368547545,0.47057760152021694,370.0,2.0,7
16,8,8,0,0.3034457917014758,0.4207730519351384,371.5,2.29128784747792,8
16,8,8,0,0.2554803111280004,0.37248130267334895,372.5,2.29128784747792,8
14,7,7,0,0.2692185160345756,0.4549910708725812,374.0,2.0,7
16,8,8,0,0.31489763328184683,0.4925523430747527,374.5,2.29128784747792,8
12,6,6,0,0.3663826779547063,0.5580714798736893,376.5,1.707825127659933,6
12,6,6,0,0.42543166291645984,0.5931894572253325,378.8333333333333,2.1147629234082532,6
10,5,5,0,0.3302015833970573,0.46746814169468764,379.4,1.8547236990991407,5
